key,email,name,phone,city_slug,bio,cover,is_verified
vitaliy,vitaliy@seed.local,Виталий,+7 918 340-11-92,yablonovskiy,"Прокат электросамокатов и велосипедов в Яблоновском. Выдаю у дома на Гагарина, по договорённости подвожу к подъезду. Работаю с апреля по ноябрь.",lenta,yes
sergey,sergey@seed.local,Сергей,+7 918 225-70-48,yablonovskiy,"Держу инструмент для ремонта и стройки. Всё рабочее, перед выдачей проверяю. Если не знаете, как пользоваться, — покажу, это входит в цену.",chertezh,yes
marina,marina@seed.local,Марина,+7 961 508-33-17,yablonovskiy,"Детские вещи и платья. Всё своё, после каждого проката стираю и обрабатываю. Мама двоих, знаю, как быстро всё это перестаёт быть нужным.",ribbons,yes
aslan,aslan@seed.local,Аслан,+7 918 445-06-73,yablonovskiy,"Сапборды и всё для воды. Живу у водохранилища, до воды пять минут — можно взять и сразу пойти.",stripes,
timur,timur@seed.local,Тимур,+7 989 273-51-40,yablonovskiy,"Перфоратор и мойка. Беру их пару раз в год, остальное время просто занимают место в кладовке.",chertezh,
zaur,zaur@seed.local,Заур,+7 918 617-92-28,yablonovskiy,"Отдаю то, что стоит в гараже без дела.",chertezh,
kseniya,kseniya@seed.local,Ксения,+7 952 331-77-14,yablonovskiy,"Детское, из которого сын вырос. Всё целое и вымытое, отдаю спокойно.",houses,
egor,egor@seed.local,Егор,+7 900 264-38-95,yablonovskiy,"Сосед из третьего подъезда. Пишите после шести, днём на работе.",houses,
madina,madina@seed.local,Мадина,+7 918 802-45-61,yablonovskiy,"Платья с фотосессий, 46 размер. Химчистка после каждой выдачи за мой счёт.",ribbons,
nikolay,nikolay@seed.local,Николай Петрович,+7 918 119-83-27,yablonovskiy,"На пенсии, дома почти всегда. Звоните, не стесняйтесь.",houses,
polina,polina@seed.local,Полина,+7 962 540-16-88,yablonovskiy,"Коляска осталась после дочки. Стоит на балконе, пусть лучше кому-то пригодится.",houses,
zamir,zamir@seed.local,Замир,+7 918 358-24-09,yablonovskiy,"Мотобур со шнеками. Если недалеко — подвезу сам.",doodles,
olga,olga@seed.local,Ольга,+7 989 117-62-05,krasnodar,"Всё для праздника на даче и во дворе: шатёр, мангал, казан, гирлянды. Помогаю собрать и разобрать, если нужно.",doodles,yes
alexey,alexey@seed.local,Алексей,+7 918 771-04-63,krasnodar,"Снаряжение для походов. Сам хожу на Пшаду и в Лаго-Наки, вещи проверены на себе. Расскажу, что реально нужно взять, а что лишний вес.",camp,
karen,karen@seed.local,Карен,+7 918 936-70-52,krasnodar,"Строительное оборудование. Возим по городу своим бортом, доставка по договорённости.",chertezh,
svetlana,svetlana@seed.local,Светлана,+7 961 285-49-30,krasnodar,"Техника для уборки. После ремонта или переезда — самое то.",steklo,
vadim,vadim@seed.local,Вадим,+7 918 507-31-64,krasnodar,"Камера и колонка. Обычно отдаю вечером после работы, о времени договоримся.",steklo,
artur,artur@seed.local,Артур,+7 989 664-20-17,krasnodar,"Приставка и очки. Джойстики, провода, коврик — всё на месте, проверяю при вас.",stripes,
inna,inna@seed.local,Инна,+7 952 806-13-45,krasnodar,"Прицеп стоит во дворе, беру его раз в месяц. Нужны права категории B и фаркоп.",lenta,
maksim,maksim@seed.local,Максим,+7 900 428-96-71,krasnodar,"В горы выбираюсь пару раз в год. Что не уехало со мной в рюкзаке — пусть работает.",camp,
dmitriy,dmitriy@seed.local,Дмитрий,+7 918 662-28-31,krasnodar,"Снимаю видео. Камеру не отдаю, а стабилизатор лежит без дела — забирайте, покажу как балансировать.",steklo,yes
